"","SES_bl","SES_lec_0","SES_lec_1","SES_lec_2","SES_ori_0","SES_ori_1","SES_nest_1","SES_nest_2","SES_nest_3","SES_nest_4","SES_nest_5","SES_soc_1","SES_soc_2","SES_soc_3","SES_soc_4","SES_bsor","SES_bsim","SES_bsne","SES_fbsor","SES_fbsim","SES_fbsne"
"SV8",1.03017109343768,-2.15517889484445,3.83543736293773,-2.43513711396335,-2.85600523563391,2.85600523563391,-2.07533906295098,-0.455962921885571,4.40276200651151,0.517004940249967,0.669561044356084,3.09062625718163,-2.60929066119354,3.92764803566059,-2.35094820981155,-59.1119546812676,-75.2662148560577,41.593264988927,3.20430602918632,0.0480495656731277,3.3716247354436
"TR8",-0.0752239253538162,-1.91628680725573,3.43223231230229,-2.19104220447554,-7.35548165134983,7.35548165134981,-3.85556604896406,2.71292517670172,3.69230187415286,-0.721487746004384,-0.720962708035203,0.71561620804298,-0.0178814010511053,1.62502699844905,-2.07044893185115,-48.5509188811546,-61.4595927068194,36.75021529179,1.9764054523647,-2.46837807244423,4.09035386263438
"T1-C",-0.0278200716720348,-1.19149287645316,2.18831532157015,-1.41955280225565,0.532946354993691,-0.532946354993691,0.544581224331634,-1.16225901488933,1.3572122432077,-0.375325898614912,-0.330680750749491,3.10864465091072,-2.01830559031244,2.60046242101925,-1.25263937593295,-9.45186297801448,-31.9003666842061,30.0734518935054,1.14121593033253,-0.774719491626517,1.39493455511795
"T1-D",0.773479686625698,-1.88758725496833,3.21577700208376,-2.01212037270045,-3.4770645499813,3.4770645499813,-2.95525580081724,-0.184208486342452,4.46517877975739,1.30344574005529,1.50940780618451,2.84371505019671,-1.82911361978716,3.26922775215171,-1.99710322738859,-42.0609014412961,-67.7421987134903,58.9567022618092,1.67757449252474,-0.730128570151644,1.90154578940177
"T1-F",-0.0731192048752087,-1.76769513735562,3.69105992072841,-2.6079025986351,-4.5854505324277,4.5854505324277,-4.15183101767665,1.9031451288944,4.15130202937493,0.848605889286809,1.02193343532757,3.78261071435069,-2.23840053847151,3.18430808180267,-1.92217029314097,-44.4174723035394,-58.1748181440584,40.2849187249543,3.07485680290248,2.99442974233604,1.43204143146605
"T1-G",0.693146932310922,-2.16801382768384,3.83324843315392,-2.34968493090389,-3.74014975681518,3.74014975681519,-3.94662312410248,1.75542771365651,3.78280440171609,0.898893757704039,1.17870145950779,3.18934941481356,-1.5038275048202,2.3624443585076,-2.30867889163712,-44.0839798637855,-60.5921509456128,48.2901116017168,2.04387334690436,-0.0597148647758791,2.16021583067025
"T1-H",0.0259110560433282,-1.16617278550995,1.94175246377947,-1.21889997875389,-6.35091362055384,6.35091362055384,-1.75894672378712,1.39462230832288,1.62827548119113,-0.339866531537395,-0.322419921508753,3.65332631086373,-0.737242197082066,0.296070696323918,-1.22085916208513,-10.161658494177,-38.8593118080024,36.7859083997307,0.585010156019658,0.30616413500884,0.296133864912601
"T1-SV",-1.36661150852708,-1.49613350882582,1.84329431220936,-0.784612580604929,-1.0539515345437,1.0539515345437,0.134437862422606,-1.3972664586334,1.07240701812626,1.99026295993468,-0.389281012488532,3.9557987810517,-2.56616878453568,1.93013739036461,-1.58437010931077,-20.7218902442903,-48.9654404289846,44.6803493313698,1.06995063577783,2.35297119138529,-0.076072872886357
"T1-TM",1.42530802698888,-1.59804262982347,2.86290675855901,-1.81371043808746,-2.34640003425283,2.34640003425283,-0.975283514635422,-0.668192327577414,3.8972037563954,-0.467436210915459,-0.487631879946944,1.87596759727227,-2.42734084351471,4.11101035838638,-1.70986698334531,-32.6545391402157,-62.9822222315187,56.7641943273563,1.64824555558103,-0.520620695361588,1.71514322934598
"T6-SV",-0.753640597542356,-1.62422668893344,2.09812522441101,-0.987379297056242,-7.0750491504275,7.0750491504275,-2.38870126523972,2.66078815789102,0.781715863207433,-0.47914885045043,-0.462154617046588,-0.773569164402688,0.891636106030829,1.51398393327729,-1.70931613615697,-24.7479566010088,-48.8181085078951,43.3813769697263,-0.658859498227219,-0.598149189388899,-0.33623999663824
"T6-TM",0.436171914563306,-2.37142728738745,3.17827618042514,-1.55632463787616,-6.00644697658444,6.00644697658444,-2.87028031986516,2.04315092019268,2.27588265342587,-0.694907951023467,1.05690427813993,1.80141045215604,-0.142313075508978,2.05482554232559,-2.52049571512007,-46.4383034607554,-61.3776129931297,43.6845708312413,1.61531819889872,0.615187634934444,1.32074041873456
"T7-H",1.88531615020497,-1.5701465134929,2.15973848873016,-1.0465924220195,-0.887058397764796,0.887058397764797,-0.234066230881719,-0.65660636015967,2.3614395482711,-0.498298820220267,-0.445516982638602,0.619640375967197,-0.441576178159195,1.46332768970959,-1.69400837374263,-14.8348528859325,-31.5997383652902,28.6084715965871,1.3571788796703,3.32495161313798,-0.237407242740027
"T7-SV",-1.55638972314759,-0.679539127717566,2.01296319169839,-1.68247654048652,-0.998086797482503,0.998086797482502,0.234947344949063,-0.464879541737327,-0.68449444961045,-0.458427621142605,2.20168928394829,2.27815826350294,-2.05433037975234,2.52137898344704,-0.810819436418138,-16.9349548980342,-37.5410250532319,34.0052554385858,0.70227610821082,2.45744128248731,-0.391274294277572
"T8-BE",-1.56108572328923,-1.22434537105772,2.84186006185397,-2.12259279138574,-3.05083272935352,3.05083272935353,-2.08683563126588,1.79677460098743,-0.846658087781241,1.41095608526356,1.46062779638575,4.95424443362734,-1.04302142100468,-0.810419379284941,-1.36457193545165,-33.3306597646473,-52.6218502852811,46.0458717315954,0.669301570663971,0.999928488480301,0.169574742931216
"T8-C",0.804528816494542,-1.51869905488181,2.65881905282671,-1.64490476232829,-1.05646646138442,1.05646646138442,-0.466045078411683,-1.41164783284617,2.71098879458682,-0.465861276706223,2.33432243369848,3.74178460384274,-3.51411852564642,4.41123831236041,-1.58974119625508,-26.8559178525391,-56.700164231709,51.5995268072818,2.04183642949738,-0.665063682798668,2.10653691622775
"T8-D",1.72423155062409,-1.97348301166941,2.70070045726811,-1.2770518981395,-2.05156407167153,2.05156407167153,-2.72051593329712,-0.109003480949716,4.04012796001492,0.700756420628413,2.21670279172867,3.4192462235511,-1.32767905738967,1.67274095562695,-2.1268514200337,-51.4666140654475,-66.2895552038006,43.0629194751857,3.09101787531413,1.10674094024345,2.64406159571221
"T8-F",-0.509484959849852,-2.44113157613618,3.62440976129249,-1.82958050568923,-4.20758369766713,4.20758369766712,-3.53395915965738,1.4605001862326,3.84903840673317,0.6312863943806,0.792627996386869,1.50247440314009,-1.50872932688236,4.65341198088311,-2.64830163728242,-52.9440246438057,-68.1526706430748,43.6633216272959,2.16317427256968,0.429605313262015,2.087487350719
"T8-G",1.18010719305602,-2.79875525270193,4.33662892967341,-2.26864464239035,-6.28385205207104,6.28385205207105,-3.47274041234486,1.77607557495454,2.34586579810227,0.457429563055753,1.88759425935023,2.79984764632732,-0.724851833067161,1.92443509098474,-2.50602509546048,-45.3764554814576,-60.6482840744127,37.5138876817855,3.49029271676486,1.18150325319284,2.35713893935595
